0.000000 	 0.000000 	 10.000000 	 15.000000
10.000000 	 0.000000 	 10.000000 	 15.000000
20.000000 	 22.193836 	 10.000000 	 14.903082
30.000000 	 77.681198 	 10.000000 	 14.902480
40.000000 	 100.000000 	 10.000000 	 15.137991
50.000000 	 100.000000 	 10.000000 	 15.463904
60.000000 	 100.000000 	 10.000000 	 15.783501
70.000000 	 100.000000 	 10.000000 	 16.096903
80.000000 	 100.000000 	 10.000000 	 16.404230
90.000000 	 100.000000 	 10.000000 	 16.705599
100.000000 	 100.000000 	 10.000000 	 17.001127
110.000000 	 100.000000 	 10.000000 	 17.290926
120.000000 	 100.000000 	 10.000000 	 17.575108
130.000000 	 100.000000 	 10.000000 	 17.853783
140.000000 	 100.000000 	 10.000000 	 18.127054
150.000000 	 100.000000 	 10.000000 	 18.395029
160.000000 	 100.000000 	 10.000000 	 18.657810
170.000000 	 100.000000 	 10.000000 	 18.915497
180.000000 	 100.000000 	 10.000000 	 19.168190
190.000000 	 100.000000 	 10.000000 	 19.415985
200.000000 	 100.000000 	 10.000000 	 19.658978
210.000000 	 100.000000 	 10.000000 	 19.897259
220.000000 	 100.000000 	 10.000000 	 20.130920
230.000000 	 100.000000 	 10.000000 	 20.360054
240.000000 	 100.000000 	 10.000000 	 20.584745
250.000000 	 100.000000 	 10.000000 	 20.805082
260.000000 	 100.000000 	 10.000000 	 21.021147
270.000000 	 100.000000 	 10.000000 	 21.233025
280.000000 	 100.000000 	 10.000000 	 21.440796
290.000000 	 100.000000 	 10.000000 	 21.644539
300.000000 	 100.000000 	 10.000000 	 21.844334
310.000000 	 100.000000 	 10.000000 	 22.040257
320.000000 	 100.000000 	 10.000000 	 22.232380
330.000000 	 100.000000 	 10.000000 	 22.420778
340.000000 	 100.000000 	 10.000000 	 22.605526
350.000000 	 100.000000 	 10.000000 	 22.786694
360.000000 	 100.000000 	 10.000000 	 22.964350
370.000000 	 100.000000 	 10.000000 	 23.138561
380.000000 	 100.000000 	 10.000000 	 23.309397
390.000000 	 100.000000 	 10.000000 	 23.476919
400.000000 	 100.000000 	 10.000000 	 23.641197
410.000000 	 100.000000 	 10.000000 	 23.802288
420.000000 	 100.000000 	 10.000000 	 23.960257
